url_path,views_total,views_unique
/ThisCrashesYouOnPhone/aScrobble,19,12
/ThisCrashesYouOnPhone/aScrobble/releases,2,2
/ThisCrashesYouOnPhone/aScrobble/releases/tag/v1.1.3,2,2
/ThisCrashesYouOnPhone/aScrobble/blob/main/src/components/Settings.tsx,2,1
/ThisCrashesYouOnPhone/aScrobble/blob/main/src/App.tsx,1,1
/ThisCrashesYouOnPhone/aScrobble/blob/main/src/components/Dashboard.test.tsx,1,1
/ThisCrashesYouOnPhone/aScrobble/blob/main/src/components/LastfmStep.tsx,1,1
/ThisCrashesYouOnPhone/aScrobble/blob/main/src/components/Welcome.tsx,1,1
/ThisCrashesYouOnPhone/aScrobble/blob/main/src/main.tsx,1,1
/ThisCrashesYouOnPhone/aScrobble/issues,1,1
