url_path,views_total,views_unique
/ThisCrashesYouOnPhone/aScrobble,28,17
/ThisCrashesYouOnPhone/aScrobble/activity,6,2
/ThisCrashesYouOnPhone/aScrobble/issues,5,2
/ThisCrashesYouOnPhone/aScrobble/releases/tag/v1.1.3,3,2
/ThisCrashesYouOnPhone/aScrobble/releases,2,2
/ThisCrashesYouOnPhone/aScrobble/issues/1,1,1
/ThisCrashesYouOnPhone/aScrobble/issues/views,1,1
/ThisCrashesYouOnPhone/aScrobble/tree/main/public,1,1
/ThisCrashesYouOnPhone/aScrobble/tree/main/scripts,1,1
/ThisCrashesYouOnPhone/aScrobble/tree/main/src-tauri,1,1
