url_path,views_total,views_unique
/ThisCrashesYouOnPhone/aScrobble,22,19
/ThisCrashesYouOnPhone/aScrobble/releases/tag/v1.1.3,4,4
/ThisCrashesYouOnPhone/aScrobble/blob/main/worker/src/index.ts,3,3
/ThisCrashesYouOnPhone/aScrobble/blob/main/src/App.tsx,2,2
/ThisCrashesYouOnPhone/aScrobble/blob/main/src/lib/worker-api.ts,2,2
/ThisCrashesYouOnPhone/aScrobble/releases,2,2
/ThisCrashesYouOnPhone/aScrobble/tree/main/src,2,2
/ThisCrashesYouOnPhone/aScrobble/blob/main/src/components/Settings.tsx,2,1
/ThisCrashesYouOnPhone/aScrobble/pulls,2,1
/ThisCrashesYouOnPhone/aScrobble/blob/main/README.md,1,1
