url_path,views_total,views_unique
/ThisCrashesYouOnPhone/aScrobble,20,13
/ThisCrashesYouOnPhone/aScrobble/blob/main/worker/src/index.ts,3,3
/ThisCrashesYouOnPhone/aScrobble/releases,3,3
/ThisCrashesYouOnPhone/aScrobble/blob/main/src/App.tsx,2,2
/ThisCrashesYouOnPhone/aScrobble/blob/main/src/lib/worker-api.ts,2,2
/ThisCrashesYouOnPhone/aScrobble/tree/main/src,2,2
/ThisCrashesYouOnPhone/aScrobble/blob/main/src/components/Settings.tsx,2,1
/ThisCrashesYouOnPhone/aScrobble/blob/main/src-tauri/src/commands.rs,1,1
/ThisCrashesYouOnPhone/aScrobble/blob/main/src-tauri/src/deploy.rs,1,1
/ThisCrashesYouOnPhone/aScrobble/blob/main/src/components/Dashboard.test.tsx,1,1
